((-35, -27, -10, 9, -5, -7, -12, -110), 1, 0.0)
((-94, -25, -5, 43, 26, -4, -13, -41), 1, 0.021905784429382798)
((72, -94, 11, 18, -9, -17, -79, -23), 1, 0.04730962938804182)
((-33, -40, 9, 0, -7, -3, 0, 3), 1, 0.07350317505298407)
((14, 51, -12, 7, 1, 6, 0, 1), 1, 0.09714915194126679)
((1, -57, -5, -16, 3, -11, -4, 1), 1, 0.19021010600235258)
((-27, 51, -18, -2, -2, 11, 41, 10), 1, 0.2114510593678175)
((-3, -27, 24, -4, 4, 31, -4, 24), 1, 0.231695336318421)
((-20, -51, -2, 28, -1, -16, -5, -3), 1, 0.2517645676973069)
((-4, -42, 4, 6, -3, -10, -2, -6), 1, 0.27739363415703583)
((30, 16, 3, -1, -4, -18, -13, 1), 1, 0.3015687390275791)
((-10, 55, -3, 6, -2, -6, -7, -5), 1, 0.3288068563126736)
((10, 16, -2, -3, -4, 4, 29, 9), 1, 0.3498288601682376)
((22, 23, 6, 0, 4, -2, -21, -5), 1, 0.37520647680018976)
((46, 34, -5, 6, 9, 9, 7, 2), 1, 0.40181511424431915)
((-17, -49, 6, 0, -3, 6, 9, 3), 1, 0.42167851027665754)
((-9, -11, -1, 3, -4, -9, 3, 1), 1, 0.44458553256902467)
((26, -18, 6, 4, 6, -2, 10, 3), 1, 0.4689128757706709)
((29, 39, -8, 0, -3, 4, 7, 0), 1, 0.4892335569773336)
((30, 1, 11, -5, -4, -2, -1, -1), 1, 0.5134177847441227)
((20, -18, 3, 3, 9, 8, 0, 4), 1, 0.5359285312308099)
((-2, -39, 0, -4, -1, -13, -36, 1), 1, 0.5551732808614751)
((2, -15, 1, 7, 3, 10, -11, -5), 1, 0.5788842583855096)
((-65, -38, 1, 14, 7, 6, 27, -6), 1, 0.5984642744532107)
((39, -1, 10, -2, -6, 2, 5, 1), 1, 0.6197576844720893)
((-10, 9, -41, -3, -1, 6, 7, 2), 1, 0.6403577543762818)
((-4, 6, 3, 2, 14, 21, 12, -1), 2, 0.6618718244481075)
((6, 7, 5, -3, -3, -10, 1, 0), 1, 0.6876405852566014)
((37, -5, 16, -1, 2, 7, -2, 3), 1, 0.710327517677037)
((6, 1, 2, 0, 2, -3, 1, 0), 1, 0.730474863855028)
((2, 0, 1, 1, 9, 24, 5, 2), 1, 0.7492053102098323)
((8, 9, 10, -5, 0, -13, -3, -11), 1, 0.7786819581612574)
((-43, -2, 1, -5, -11, -14, 13, -6), 1, 0.8019949493365659)
((-4, -2, -5, 1, 4, 15, 7, -1), 1, 0.822808837121521)
((14, 15, -8, 0, -3, 2, 3, 5), 1, 0.8476128516520139)
((16, -12, 3, 3, 1, -9, 0, 3), 1, 0.8687488917106514)
((-17, 3, -3, -2, -10, -12, -5, -2), 1, 0.8954675740907466)
((4, 4, -6, 0, -6, -17, -8, 2), 1, 0.9185063081976635)
((0, -1, 5, 0, -5, -3, 2, 1), 1, 0.9384449681240303)
((0, -1, 5, 0, -5, -3, 2, 1), 1, 0.9584469181431029)
((-4, 7, 8, -5, -5, -12, -6, 4), 1, 0.9810386303339721)
