((3, 4, 6, 1, 1, 0, 1, 1), 2, 0.0)
((20, 1, -18, -28, -6, -7, -7, 1), 1, 0.2748808464223137)
((31, 15, 8, 28, 4, -3, -7, -3), 1, 0.2949147265782468)
((18, 7, 9, 87, 22, 12, 10, 8), 1, 0.314763868085201)
((-22, 19, -4, -13, -1, 3, 2, 4), 1, 0.3364489924616368)
((5, -10, -7, 5, -1, -1, -2, 4), 1, 0.3557450583836851)
((10, -4, -2, -5, -3, 0, 0, 1), 1, 0.3758992467338606)
((5, -1, -3, -10, -6, -5, -4, -9), 1, 0.3957187388280157)
((10, -4, 1, -5, -3, 1, 2, 4), 1, 0.413193646586982)
((10, -4, -3, 34, 5, 0, -2, -1), 1, 0.4350977204733187)
((-11, -3, -2, -14, 0, 0, -1, -11), 1, 0.45427632910620136)
((-10, -11, -7, -9, -5, -3, -2, 1), 1, 0.47354730706357345)
((22, 0, 2, -4, -1, -1, -1, 6), 1, 0.4927903461511926)
((14, 4, -5, -2, -5, -4, -4, 1), 1, 0.5125836099186408)
((5, 4, -5, -32, -8, -2, -1, 1), 1, 0.5311846251829568)
((-15, 7, 1, -8, 0, -2, -8, -3), 1, 0.5507076231491211)
((-14, 4, -1, -7, 0, 2, 6, 5), 1, 0.57147304554777)
((0, 4, 3, 4, 1, 1, 0, 2), 1, 0.5913951702246912)
((13, 4, -1, 6, 2, 0, 2, 1), 1, 0.6235522391293564)
((-14, -1, -1, 4, -2, -2, 0, -1), 1, 0.6525601982861499)
((13, -5, -1, 3, -1, -1, 0, -7), 1, 0.6712558635990168)
((1, 0, -1, 7, -1, -1, -4, -2), 1, 0.6888242810445032)
((-17, 6, 1, -11, -2, 0, -1, -5), 1, 0.7088336434167756)
((-18, -2, 0, 12, 0, -1, -2, -1), 1, 0.7300643335239638)
((26, 9, -2, -17, -5, -4, -3, 4), 1, 0.7487160948986474)
((-1, 0, 2, 5, -1, -1, -2, -1), 1, 0.770301437597394)
((-30, -18, -1, 14, -4, -1, -1, -6), 1, 0.7894395633781857)
((11, -1, -2, -15, 0, 0, 0, 1), 1, 0.8086763304746358)
((31, 5, 1, 4, 1, -1, 0, 1), 1, 0.8291332849439712)
((9, 1, -3, 5, -3, 0, -1, 1), 1, 0.8503291940092221)
((-17, -2, 0, 0, 0, 1, 0, -1), 1, 0.8746114929106543)
((0, -12, 0, 1, 0, -3, 2, 1), 1, 0.8943300629650895)
((-20, -12, -4, 16, 4, 0, -3, -3), 1, 0.9120780874304165)
((4, -1, 0, -8, -2, -1, 0, 0), 1, 0.9305992773525811)
((-6, 6, 1, 5, 1, -1, 1, -1), 1, 0.9500720993893932)
((-10, 0, 2, 10, 2, 1, -2, -1), 1, 0.9703671224503643)
((29, 0, -1, -14, -3, -1, 2, 2), 1, 0.9899243312774506)
((18, 1, 2, 4, 4, 0, 0, -1), 1, 1.0107604561220052)
((18, 4, -2, -6, -2, -1, -3, 0), 1, 1.0302771820970003)
((27, 1, 5, 12, 4, 0, 2, 4), 1, 1.05032132551121)
((-2, -1, -3, 0, -3, 0, -3, -1), 1, 1.0707463498436849)
((3, -5, -3, -8, -6, -2, -2, 2), 1, 1.0911605407368676)
((-12, 8, 2, 17, 0, 0, -1, -1), 1, 1.1104252467030709)
((-4, 0, 1, 6, 4, 3, 4, -1), 1, 1.130083377569877)
((-4, -11, -2, 4, 2, 0, -3, -3), 1, 1.1500009407986753)
((-13, 0, 1, -6, 1, -1, 2, 2), 1, 1.167474708195611)
