((-23, -11, -5, -6, 0, 4, 3, 2), 2, 5.701806902607436e-07)
((17, 2, 53, 0, -5, -5, -2, 0), 3, 0.019273247692193657)
((17, 2, 53, 0, -5, -5, -2, 0), 3, 0.037183763534664134)
((7, -34, -40, -4, -3, 4, 10, 6), 3, 0.0617961832104594)
((-17, -6, 2, 4, 1, 1, 8, 0), 3, 0.08323896842909519)
((1, 33, -1, 7, 4, -1, -1, 0), 3, 0.10253901461373109)
((23, 17, 37, 10, 1, -2, 2, -1), 3, 0.12175296351413763)
((-35, 20, -74, 2, 3, -6, -7, 3), 3, 0.1412668274576213)
((7, -13, 64, -7, -9, -6, -6, -5), 3, 0.16044770587799273)
((-12, 17, -13, -5, 1, 1, -2, -13), 3, 0.17921862438206668)
((4, -11, 7, -2, 0, -2, 1, 6), 3, 0.19924451058540452)
((-26, -49, -32, -1, -1, -1, -9, -5), 3, 0.21841911701818306)
((8, 4, 22, 0, -1, -5, 0, -5), 3, 0.23988813054857083)
((14, -9, -75, -1, 1, 2, -4, 6), 3, 0.2605771368946819)
((22, 9, 52, 5, 2, 3, 0, 2), 3, 0.2801001237292098)
((-8, -4, -11, -13, -6, -8, -16, -4), 3, 0.29891095488160196)
((-2, 57, -16, 16, 1, 3, 5, -3), 3, 0.3179059543969484)
((20, 10, -32, 1, -1, -5, -7, 5), 3, 0.33817416739364703)
((-10, 5, -15, 1, -2, -3, -3, -10), 3, 0.3575996533301403)
((1, -10, -36, -7, 1, 10, 14, 2), 3, 0.3756435914541318)
((14, 28, 0, -2, 0, 13, 13, -8), 3, 0.39630180804296883)
((1, 7, 32, -5, -2, 2, 2, -3), 3, 0.4148229874047086)
((0, -7, 22, 2, 2, 2, 4, 0), 3, 0.43366403813368454)
((13, -7, -25, -4, -5, -6, -2, 7), 3, 0.45519748208207184)
((-2, 17, 12, 2, 1, 6, 9, 3), 3, 0.47421357828295785)
((4, -46, 11, -12, -6, -5, -1, -6), 3, 0.4929896284132442)
((-41, -78, 32, -5, -3, -5, -7, 2), 3, 0.5143132458676154)
((1, 2, 4, 4, 1, 3, 5, 3), 3, 0.5453185314426142)
((6, -48, 14, -7, -7, -5, -9, -14), 3, 0.5634206279970122)
((29, 45, 5, 7, 1, -1, 3, 8), 3, 0.5829983521778052)
((-3, -20, 29, 7, -1, 1, 5, -4), 3, 0.6022362486672026)
((-37, 37, -10, -1, -3, -7, -14, -17), 3, 0.6223664779368582)
((16, -13, 11, -2, -2, -7, -5, -3), 3, 0.6424299960657532)
((4, -8, 4, -5, -6, -7, -11, 4), 3, 0.6623241705296409)
((-8, 9, -17, -7, -3, -11, -12, -2), 3, 0.6819053157945753)
((4, -14, -25, -4, -2, 1, 5, 10), 3, 0.7010958872866812)
((-2, -24, 15, -2, -5, -3, 3, -9), 3, 0.7237132447272541)
((-13, -14, 21, 1, -2, -2, -5, -5), 3, 0.7445647525700895)
((1, 22, 29, 5, 1, 1, -1, -11), 3, 0.7648204215916024)
((-3, -2, 22, -3, -4, -3, 0, -16), 3, 0.784672972865101)
((-32, -33, -34, 6, 2, 0, 11, 33), 3, 0.8038458687558088)
((0, 9, -6, -10, -5, -2, -4, -9), 3, 0.8248872467685009)
((-3, 20, -21, -12, -3, -5, -6, -5), 3, 0.8454696293255333)
((-19, 15, 9, 1, 2, 0, 1, -6), 3, 0.865926001950018)
((-23, -43, 52, 27, 11, 8, -5, -21), 3, 0.8848862204432585)
((72, 25, -8, -2, 0, 2, 25, 35), 3, 0.9052279867490007)
((27, -30, -49, -23, -10, -10, 3, -8), 3, 0.9244447865528586)
((-77, -59, -4, 1, -13, -34, -81, -106), 3, 0.9438731233928032)
((0, -21, 26, 1, -2, -12, -40, 16), 3, 0.962545400637462)
((77, -4, -24, 1, 0, 7, 24, 29), 3, 0.9795059954499581)
((27, -68, -8, -29, -17, -20, -2, -19), 1, 1.0197738663382425)
((-51, -45, -16, -9, -2, -9, -40, 7), 1, 1.1594578721997)
((5, 27, 10, 1, -1, 6, 37, -1), 1, 1.1779801919228203)
