((-17, -10, 0, -2, -10, -3, -1, -19), 0, 5.701810153669486e-07)
((-2, -12, -11, -26, 5, -12, -7, -10), 3, 0.023999489117810233)
((7, 5, 17, 35, 44, 26, 7, -2), 0, 0.044698770518676566)
((17, 11, 15, 24, -25, 8, 12, 2), 0, 0.06372343027741018)
((2, 7, 2, 6, -7, 0, -1, -6), 0, 0.0863721605698161)
((-2, -1, 3, 2, -32, -7, -2, 0), 0, 0.10695227413847073)
((8, -11, -6, -15, -5, 0, -2, -2), 0, 0.1326834029999504)
((1, 0, -2, -4, 0, -2, -3, -31), 0, 0.15341290399463117)
((0, -3, -3, -3, 5, 1, -1, 15), 0, 0.17467552423868005)
((5, -4, -2, -2, -7, 0, -1, -8), 0, 0.21120702189324045)
((-1, 1, 1, 6, -2, -4, 4, 3), 0, 0.23400627997370324)
((-2, 0, -2, -8, 31, 13, 1, 2), 0, 0.2575655893476502)
((-8, -3, -4, -5, -3, -7, -4, -5), 0, 0.2809452917017566)
((-1, -2, -1, -16, -7, 0, -1, 4), 0, 0.315696114045326)
((-1, -2, 0, -22, 6, 0, 1, 2), 0, 0.338940113317775)
((-2, 2, -2, 27, -25, -61, -6, -2), 0, 0.36114980422834836)
((-2, -5, -7, -10, 5, -17, -6, -3), 0, 0.3796755555986359)
((-2, -1, -2, -4, -11, -9, -5, -2), 0, 0.39924758913212177)
((-3, -4, -10, -4, -44, 14, -2, -1), 0, 0.4247928389825918)
((-2, 2, 6, -3, -8, 9, -1, -2), 0, 0.44788060865683027)
((0, 0, -6, -7, -5, 6, -1, 1), 0, 0.4677097938282467)
((-3, -6, -2, -6, 49, 11, -1, -1), 0, 0.4879552111408809)
((-1, 0, -2, 5, -40, -9, -5, -5), 0, 0.5078231686213422)
((-3, -3, -6, -12, 26, 9, 3, 2), 0, 0.5321430994697887)
((-3, -4, -5, -13, -34, -7, -4, -2), 0, 0.552910802592499)
((2, 0, -2, -2, -91, -2, 7, 1), 0, 0.5726191093886576)
((-3, 1, 4, 20, 45, -4, -5, -3), 0, 0.5928747899595684)
((-1, 0, 3, 21, 58, -4, -1, -1), 0, 0.6178920521898087)
((-1, 1, -1, 1, 39, 4, 2, 1), 0, 0.6496254766000562)
((3, 4, 3, 6, 23, 13, 3, 2), 0, 0.6816804831029707)
((-4, -2, 0, -11, -23, -12, -1, -2), 1, 0.7483340736183516)
((0, -1, 0, -7, -33, 18, 3, -1), 1, 0.7863469015508353)
((-3, -3, -5, -5, 33, -11, -6, -4), 1, 0.8142909029329541)
((-4, -3, -1, -3, -36, 4, -8, -10), 1, 0.832688363574784)
((0, -3, -3, -13, -35, -29, -105, -89), 1, 0.8581811567718404)
((34, 6, 0, -11, -34, 15, 75, 78), 1, 0.8850583494742076)
((28, -1, -20, -61, -29, -16, -70, 11), 1, 0.9079933106363277)
((58, -4, -2, -87, 16, 36, -57, -26), 1, 0.9396925241856532)
((-51, -8, 0, 15, 7, 16, 46, 43), 1, 0.9676661749805711)
((-51, -11, -4, 13, -2, -27, 10, -18), 1, 0.9919798338378485)
((21, 7, -5, 11, -49, 0, 25, 11), 1, 1.0162524396620194)
((19, 17, 11, -9, -10, 56, -1, 29), 1, 1.05203072819528)
((23, 4, -5, -46, 0, 7, 16, 20), 1, 1.0771985182135773)
((-7, 0, 0, -14, 1, -22, -13, -15), 1, 1.0996043513934368)
((9, 5, 9, 23, 18, 13, 19, 15), 0, 1.1283899399542372)
((15, 6, 3, 24, 3, -6, -14, 16), 0, 1.1556400310406545)
((-7, -5, -5, -52, -9, -4, -4, 8), 0, 1.1781815673021714)
((3, 6, 1, 3, 4, 4, 10, 16), 0, 1.2012345559344726)
((0, 3, 7, 21, 2, 9, -9, -12), 0, 1.2301096629146855)
((-9, -5, -2, 3, -4, 6, -1, -9), 0, 1.2537157271318926)
((-5, -3, -4, -44, -6, 16, 18, -5), 0, 1.2886130859964113)
((0, 0, 0, 13, 4, -6, -1, 5), 0, 1.3167378347604013)
((4, 3, 4, 14, 11, 1, 25, -3), 0, 1.3426434390125834)
((-9, -4, -2, 9, -2, -8, -31, -9), 0, 1.371061260818472)
((1, -2, -8, -37, -13, 1, -9, 3), 0, 1.3938941595788414)
((-6, -2, -4, 1, -2, -6, -5, -1), 0, 1.4214390342502035)
((-1, 0, 0, 3, 2, -11, -4, -1), 0, 1.4526433306781905)
((-3, -1, 0, 6, 8, 13, 3, 19), 0, 1.4752624115577972)
((-3, -2, -4, -9, -1, -6, -11, 10), 0, 1.497825614697898)
((1, -1, -2, -3, -3, -4, -11, -5), 0, 1.5273820879914746)
((-4, -3, -1, -3, -3, 0, 11, 12), 0, 1.5595402972581704)
((-1, -4, -4, -8, -3, 2, -15, -5), 0, 1.5815287579347816)
((-1, -3, 0, 1, 0, 4, 5, -8), 0, 1.6100349577980522)
((-2, 1, 1, 36, 5, 15, 9, 1), 0, 1.6313118325674851)
((-4, -3, 2, 10, -3, -4, -4, 0), 0, 1.6632898646333252)
((1, 4, 4, 6, 10, 25, 8, 1), 0, 1.685540608577005)
((-2, -1, 0, 1, 2, 12, 1, -3), 0, 1.7086209658980436)
((-2, -3, -2, -6, -4, -8, 6, -6), 0, 1.7339045026624602)
((-1, -2, -2, -3, -6, -4, -22, 9), 0, 1.764634408485662)
((-2, 0, -3, -13, -5, -1, -2, -14), 0, 1.7861410662042878)
((-1, -1, 2, -5, -3, -1, -2, 7), 0, 1.8082498350751413)
((-4, -1, -4, -15, -7, 1, -11, -3), 0, 1.8303432090585798)
((-3, -3, -7, -19, -1, -2, 6, 21), 0, 1.8629672562148305)
