((0, 3, 8, 9, 0, 3, 3, 3), 2, 1.4975621910687986)
((11, 10, 16, 73, 98, 39, 23, 26), 2, 1.522927833899428)
((-11, -14, -17, -23, -28, -14, 0, -28), 2, 1.5495176553700503)
((4, 5, 7, 20, 34, 20, -1, -1), 3, 1.6501739907368391)
((26, 4, 0, 3, 9, 15, -32, 1), 3, 1.6798484915005967)
((-6, -1, 3, 1, 10, -6, 41, -2), 2, 1.7558593226591646)
((11, 0, 9, 13, 20, 21, 12, 6), 2, 1.785024081595184)
((-3, -2, 3, -37, -24, -6, -21, 9), 2, 1.809508224576056)
((-3, -7, -6, -9, 35, -15, -23, -11), 2, 1.8373359090310402)
((-8, -6, -3, 2, 1, 18, -23, 3), 2, 1.9888871720104981)
((11, 0, 2, -1, -10, -6, 2, 4), 2, 2.018265178646265)
((-7, -4, -7, -3, -32, -8, 11, 2), 2, 2.0397313535127997)
((8, 0, 2, -2, -23, -6, -14, -7), 2, 2.062508374533663)
((14, -1, 1, 0, -8, 10, 5, 3), 2, 2.0844877123140284)
((44, 1, 3, -8, 8, -6, -20, -5), 2, 2.1063284961076594)
((-16, 1, -7, -4, -3, 1, -8, 1), 2, 2.13271419277478)
((-14, -10, -16, -21, 11, 11, 4, 2), 2, 2.163218306915897)
((-15, -7, -8, 8, -40, 0, -20, -2), 2, 2.2028099660799314)
((1, 2, -1, 3, 1, 10, 67, 19), 2, 2.2357863851036788)
((8, 2, 4, -4, 10, 5, 1, 4), 2, 2.2650554871655104)
((-9, -4, 6, -7, -23, 1, -8, -2), 2, 2.294758496980036)
((-1, -4, -7, 4, 2, 16, 18, 6), 2, 2.3282098767895842)
((-12, -8, -5, -5, 14, -4, 1, -4), 2, 2.350538165351354)
((-10, -4, -1, -4, 17, -3, 6, -5), 2, 2.384344767933476)
((8, -1, 0, -6, -5, -6, -30, -3), 1, 2.4325991872639805)
((-11, -1, 4, 12, -3, -4, -33, -6), 1, 2.4560279251854085)
((-4, -1, 1, 14, -18, -2, -13, 1), 1, 2.4804898311066816)
((2, 6, -1, 5, 26, 10, 12, 1), 1, 2.505344591747542)
((-4, 1, 1, -1, -28, 1, 16, 0), 1, 2.5330086342511158)
((36, -6, -14, -12, -17, -19, -33, -7), 1, 2.5566386460709682)
((-12, 0, 6, 17, -6, 0, -11, -4), 1, 2.581949551524122)
((-14, -8, -5, -8, -5, -7, 21, -3), 1, 2.6097555691005225)
((23, 4, 6, 6, 9, 1, -19, 2), 1, 2.6316790291413814)
((7, 4, -2, 1, -18, 5, 27, 1), 1, 2.653105291336841)
((-12, 1, -7, -19, -10, 7, 39, 4), 1, 2.6778961917039803)
((-2, -7, -11, -19, -23, -11, -14, -5), 1, 2.6992403478332267)
((-4, 4, 5, 7, -24, 1, -17, 0), 1, 2.722966720244676)
((-5, 7, 5, -12, -5, 5, -22, -3), 1, 2.744255568815432)
((-1, -5, -3, 4, 19, -1, -11, -2), 1, 2.765686392459014)
((5, 7, 2, -6, 3, 10, 9, 0), 1, 2.7877233185219312)
((5, -3, -6, -15, 17, 5, -8, -4), 1, 2.8104815235692877)
((-2, -5, -8, -2, 34, -11, 0, -1), 1, 2.8329420941266226)
((1, 0, -3, 2, -20, 22, 19, 8), 1, 2.852838560657852)
((-9, -3, 3, 5, -52, -9, -6, -5), 1, 2.8728370895908326)
((5, 6, -5, 2, 17, -7, -3, 3), 1, 2.89190679364978)
((-14, -3, -2, -1, -8, -11, -29, -1), 1, 2.9122628260793952)
((7, 0, -7, -15, 6, -8, -22, -6), 1, 2.9305827421031356)
((-12, -5, -5, 7, 3, -6, 4, -7), 1, 2.9504204799897824)
((-12, -2, -8, -16, -23, -1, -9, -4), 1, 2.9687643436161677)
((8, -1, 5, 16, -7, 2, 4, 0), 1, 2.9858218788718855)
((2, 1, 0, -3, -9, 5, 7, 2), 1, 3.0024620416243546)
((0, -1, 3, -1, -5, -11, 9, -4), 1, 3.0208036245266783)
((5, 1, 1, 2, 18, -8, -6, 1), 1, 3.03792958150424)
((-7, -6, -3, -12, -3, -7, -16, -2), 1, 3.0567193266846426)
((5, 2, 5, 0, 17, -1, 5, 7), 1, 3.0759726290305385)
((-15, -7, -4, -8, -32, 1, -3, -1), 1, 3.0948786911380757)
((-1, 2, 4, 6, 2, 2, 0, 0), 1, 3.1128485160183805)
((10, 3, 6, 3, -24, -10, 9, 0), 1, 3.132207301852119)
((7, -1, 0, -10, 8, -6, -24, -4), 1, 3.1507296321363145)
((-2, 4, 3, -1, 14, 2, 11, 0), 1, 3.1695718339701306)
((-2, -2, -10, -2, -7, 7, -3, -1), 1, 3.1866287990448328)
((28, 2, 8, 20, 5, -13, -10, -2), 1, 3.205378061373144)
((-21, 2, 2, -2, 17, 4, -11, 2), 1, 3.2254974686813824)
((-5, -5, -6, -5, 21, -1, -10, -2), 1, 3.243641198771374)
((-3, 1, 4, 6, 11, 10, 8, -4), 1, 3.260809349144073)
((-3, -7, -3, -4, 1, -2, -9, -3), 1, 3.2785801808500143)
((25, -2, -6, -7, -13, -13, 6, -6), 1, 3.2972433458450054)
((15, 11, 8, -9, 5, 5, 13, 2), 1, 3.3171688916080186)
((-2, -4, 1, 6, 14, -4, -10, 0), 1, 3.334073618351618)
((-9, -6, -9, -3, -3, -2, -14, -2), 1, 3.352443140123695)
((1, -1, -8, 6, 17, 2, 8, 0), 1, 3.36976067792242)
((-27, -4, -2, -3, -4, -3, -34, -5), 1, 3.38791695199475)
((-14, -4, -6, 1, -11, -2, 4, -5), 1, 3.4057117313033367)
((-7, -3, -1, -26, 2, 12, 9, -3), 1, 3.426281581613715)
((-9, 0, -2, 0, 19, -9, -43, -4), 1, 3.4442234676242665)
((-3, -3, -6, -8, -7, -2, -5, -6), 1, 3.4632469870209697)
((-12, 2, 6, 7, -2, -5, 20, 3), 1, 3.4811814606783216)
((11, -2, -1, -1, 1, 0, -13, -1), 1, 3.498650666627134)
((-1, -1, -2, -5, -9, -5, -23, 2), 1, 3.5174683506772895)
((-1, -7, -7, -5, -14, -2, 13, 2), 1, 3.5383255722194127)
((8, 1, 1, 4, 10, 0, 23, 4), 1, 3.5566204002784763)
((-2, 1, 5, 2, 2, 8, 30, 2), 1, 3.5754876900769688)
((-10, -3, 2, -3, -3, 0, 18, 2), 1, 3.593806465738678)
((3, 1, -6, -2, -16, -2, -24, -1), 1, 3.612071644384943)
((-6, -2, 0, 12, -11, -6, -30, -1), 1, 3.6323290354988997)
((-6, -2, 0, 12, -11, -6, -30, -1), 1, 3.6493426668164344)
((4, 2, 3, 4, 12, -6, -17, 1), 1, 3.668687768305804)
((0, -3, -7, -6, -7, -6, -39, -5), 1, 3.6888864307751783)
((-1, 0, -4, -12, -21, 3, -10, -6), 1, 3.709341104520452)
((4, 5, 14, 15, 19, 1, -4, 0), 1, 3.7303311782391555)
((4, 5, 14, 15, 19, 1, -4, 0), 1, 3.7493940401259187)
((1, -1, 6, 3, -10, 7, 24, 4), 1, 3.768825238948609)
((-2, -6, 0, 6, -8, -4, 16, -2), 1, 3.786110276429458)
((2, -2, -6, 10, 13, -1, 10, -4), 1, 3.806567801079809)
((1, 5, 11, -4, -1, -4, -1, 0), 1, 3.8265577772975585)
((-9, 0, -4, -1, -5, -9, -7, -7), 1, 3.8451599329239055)
((-1, 0, 11, 3, 1, 9, 12, -3), 1, 3.8642159526384843)
((-10, -4, -2, -2, 9, 3, 1, -1), 1, 3.881348181607215)
((8, -1, -3, -6, -16, -3, 27, 0), 1, 3.899882485692733)
((-2, -6, -5, 0, -2, 2, -1, -3), 1, 3.9188467062638375)
((2, -3, -4, 11, -4, -12, -13, -5), 1, 3.93786167294531)
((0, -1, 2, 1, 8, 2, -28, 3), 1, 3.95562281157399)
((-18, -2, -1, -3, -9, 1, 7, -3), 1, 3.975154362255385)
((8, 3, 3, -6, 64, 17, 26, 3), 1, 3.9941368286189816)
((8, 0, 1, 3, -28, -2, -10, 2), 1, 4.014094874699871)
((9, 7, 4, 9, 2, 9, -15, 0), 1, 4.032954181964148)
((0, -4, -2, -4, -7, -4, 8, -7), 1, 4.050616109096155)
((-9, -2, 1, 4, 14, 8, -4, -2), 1, 4.069099667071305)
((-11, -3, -3, 1, -21, -1, 18, -3), 1, 4.087137913673454)
((-15, -1, -1, 1, -11, -10, -37, -5), 1, 4.104413258077042)
((5, 6, 7, 4, 11, -4, 1, 1), 1, 4.121721672979521)
((10, -2, 2, 10, 13, -3, -17, 6), 1, 4.142406129673987)
((-7, -5, -3, 17, 4, 14, 1, 0), 1, 4.16125859476608)
((-1, -4, -7, -2, -3, -7, 7, -4), 1, 4.1796959680789865)
((0, -7, -2, -7, 40, -1, -2, -5), 1, 4.198767952861995)
((-12, 3, 2, 23, 31, 0, 4, 0), 1, 4.215558643402521)
((-13, -3, -1, 3, -7, -10, 2, -2), 1, 4.2366091563088535)
((5, -2, -8, -9, -10, 12, 66, 5), 1, 4.254966134098592)
((4, -3, -2, -4, -6, 1, -12, -5), 1, 4.273710264797765)
((3, -3, -3, 4, 2, -8, -8, -2), 1, 4.291194295452978)
((0, -3, -5, 2, -4, -9, -18, -1), 1, 4.308947451547443)
((1, 1, 1, 2, 11, 3, -10, -2), 1, 4.327591800568927)
((-6, -2, 0, 3, -18, -16, -28, -4), 1, 4.350281583894439)
((-3, 1, 2, 6, 15, 8, 6, 0), 1, 4.367678947035316)
((0, -3, 0, -11, -37, -1, 21, 3), 1, 4.385054073116592)
((2, -5, -4, -1, -26, 3, -44, -5), 1, 4.402699464999153)
((3, 0, 4, 1, -5, -12, 3, 2), 1, 4.422094742417875)
((17, 1, -2, 5, -37, -6, -25, -2), 1, 4.441367430918294)
((-9, -4, -6, 6, -7, -7, -8, -1), 1, 4.45996103382941)
((-3, 2, 6, 13, 9, 8, 8, -1), 1, 4.47687545365027)
((-9, -1, 3, -4, 6, 8, 16, 2), 1, 4.495262651033824)
((1, -4, -6, 3, -11, -3, -12, -2), 1, 4.514348320161202)
((-5, -4, -1, 2, -3, -6, 4, 3), 1, 4.532913414021549)
((0, -1, 3, 3, 8, 2, -11, -6), 1, 4.551712852279213)
((-8, -2, 1, -7, 2, 8, -3, -1), 1, 4.569743116347147)
((1, 0, 4, 4, -1, -4, 5, 2), 1, 4.589314009518602)
((-2, -2, -4, -11, 0, -7, -50, -2), 1, 4.607905901886672)
((5, 4, 6, 12, -5, -5, 11, 1), 1, 4.62703946621934)
((4, -2, 5, 7, 8, 2, -5, -3), 1, 4.647378393218495)
((3, -3, -1, 4, -6, -2, 21, -4), 1, 4.664394305260091)
((-16, -7, -14, -31, 6, -2, 22, 3), 1, 4.6840461641357285)
((-7, 6, 8, 16, 14, 5, 33, 8), 1, 4.701704670181643)
((6, 0, 8, 16, -18, -14, -11, 4), 1, 4.722307020809897)
((-13, 1, -7, 25, 4, 1, 0, -4), 1, 4.742652789981236)
((-11, 3, 0, 1, -10, -10, -18, -1), 1, 4.762073155364634)
((-2, -3, 0, 7, -7, -11, -11, -3), 1, 4.779006391159001)
((-7, 1, 4, 2, -1, 4, -5, -2), 1, 4.799706242740883)
((0, -1, -1, 3, 5, -3, -15, -5), 1, 4.819095248168436)
((9, -5, -4, -8, -7, 3, -4, 0), 1, 4.837509244059712)
((-14, 0, 2, 5, 5, 5, 10, -3), 1, 4.856579518299674)
((-1, -4, -19, -33, -9, -7, -10, 2), 1, 4.8745732907826245)
((4, 1, 7, 14, 15, 10, -6, -3), 1, 4.893080226179405)
((3, -1, 7, 0, 11, -9, -21, -4), 1, 4.910949699201005)
((2, 0, 2, 2, -3, -2, -14, 3), 1, 4.928104165229335)
((2, -2, -7, -13, -9, -13, 25, 0), 1, 4.946635048228761)
((-2, -7, -10, -4, 3, 21, 47, 9), 1, 4.965599268799866)
((-3, -3, -2, -11, -6, -4, 3, -5), 1, 4.984550945388633)
((-5, 2, -5, 2, 2, 10, 59, 11), 1, 5.0029261689708635)
((-8, -5, -4, -1, 0, 5, -6, -4), 1, 5.023023909400518)
((5, -2, -8, -6, -8, 18, 6, 7), 1, 5.040800442916613)
((1, -1, -6, -8, -2, -8, -8, -3), 1, 5.063149828175951)
((0, -5, -5, -6, -8, -4, -23, -8), 1, 5.0817365889148824)
((28, 0, 0, 13, 1, 10, 4, -6), 1, 5.097995870749087)
((-4, -2, 2, 19, 3, 3, 13, -1), 1, 5.116579780582942)
((-7, -2, -11, -43, -13, -17, 11, -1), 1, 5.1346710540195195)
((-6, 1, 13, 13, 12, -17, -24, -9), 1, 5.152437324277338)
((7, 3, -1, -8, 2, -2, -13, 2), 1, 5.170065610729439)
((-3, -4, -4, -5, 0, -11, -24, -4), 1, 5.189154700942908)
((-9, 1, -1, -10, -1, 7, 56, 4), 1, 5.20735259822936)
((-2, -3, -14, -19, -15, -17, -55, -11), 1, 5.225433038226646)
((7, 7, 14, 35, 9, 32, 3, 7), 1, 5.244219362320956)
((0, -4, -6, 2, -12, -5, 72, 3), 1, 5.265171804092645)
((-3, -4, 2, 1, 29, -4, -11, -7), 1, 5.283892557370188)
((1, -5, -4, 0, -4, -4, -9, -5), 1, 5.301244876210851)
((4, 2, -1, 2, 6, 13, -32, -2), 1, 5.319810540252214)
((-2, -1, 6, -2, 10, -7, -19, 0), 1, 5.338218834333336)
((-9, -4, -13, -17, -4, 4, -16, 1), 1, 5.357329021244374)
((0, -2, -4, -12, 3, 8, 34, 3), 1, 5.377676500958759)
((13, 6, 9, 9, 0, 11, -22, 7), 1, 5.396444579260578)
((-4, -3, -8, -7, -4, -7, 20, -2), 1, 5.416700830012504)
((0, 7, 9, 3, 6, 29, 98, 10), 1, 5.435917070592401)
((-1, -5, -3, -3, -23, -26, -30, -11), 1, 5.455696079834465)
((0, -1, -3, -14, 9, -5, -3, 2), 1, 5.475018944264235)
((-16, -2, 6, 18, -6, -13, -20, 0), 1, 5.494025928411493)
((7, 11, 6, 15, 3, 26, 36, 7), 1, 5.51226373836902)
((0, 0, -9, -1, 2, 12, 28, 8), 1, 5.531641910357281)
((11, 0, -5, -24, -7, 1, 7, 0), 1, 5.5497542804914275)
((-1, -2, -3, -3, -4, -1, -9, -1), 1, 5.5731892904040246)
((0, 0, -4, -6, 5, -12, -30, 2), 1, 5.592724262171512)
((-10, -4, 2, -17, -5, -6, 0, -5), 1, 5.609827411908459)
((6, 6, 10, 13, -1, -2, -16, -2), 1, 5.627615349044861)
((-9, -4, -2, 2, 3, -3, 8, -6), 1, 5.645928422896417)
((1, 2, 5, 8, -11, 18, 76, -5), 1, 5.6651144438825)
((0, -7, -14, 3, -13, -4, 82, -3), 1, 5.684622046961249)
((3, 5, 3, 3, 11, 5, -14, 5), 1, 5.70188598774453)
((11, 2, 1, -3, 7, 23, 40, 8), 1, 5.722521408871675)
((-6, -6, 1, -13, -4, -6, 19, -4), 1, 5.741023212639317)
((-1, -1, -11, -11, -13, -2, 18, 1), 1, 5.759793571665196)
((1, -3, -4, -11, -6, -17, -5, -8), 1, 5.780509958496524)
((3, 3, 4, 5, -2, 2, 2, -3), 1, 5.801539374705287)
((-6, -3, -2, -7, 5, -8, 14, -9), 1, 5.820474516044609)
((20, -4, -5, -5, -1, -7, -21, 0), 1, 5.841871128827269)
((-5, 1, 6, -16, -12, -8, -39, 6), 1, 5.861869087579234)
((-2, 1, -1, 11, -2, -2, 29, -1), 1, 5.881843098728553)
((-2, 1, -1, 11, -2, -2, 29, -1), 1, 5.898338435503119)
((0, 4, 2, 7, 3, 10, 72, 0), 1, 5.916796905513594)
((-9, 0, 5, 6, 0, -5, 42, 10), 1, 5.932549866606151)
((1, -4, -15, -12, -2, -4, -64, 0), 1, 5.949009852157764)
((0, 0, -5, -7, 10, 2, -31, 1), 1, 5.966759016985122)
((0, -4, -11, -3, 1, 14, 6, -1), 1, 5.989276035462979)
((-1, 2, -2, 2, 7, -1, -17, 0), 1, 6.006809671866527)
((1, -2, -5, -5, -6, 8, 14, 2), 1, 6.024894673311937)
((0, 0, -3, -3, -4, -5, -11, -4), 1, 6.041764619013598)
((2, 2, -1, 1, 0, 10, -2, 3), 1, 6.059857032812207)
((-6, -7, -6, -4, -12, -10, -8, -4), 1, 6.079319021409727)
((13, 2, -1, -9, -13, -2, -7, 0), 1, 6.0982969263252)
((-53, -12, -9, -16, -61, -6, -8, 0), 1, 6.11583170309078)
((-15, 19, 10, 53, 64, 24, 6, -6), 1, 6.132018571936032)
((-6, -1, -3, 4, 19, -5, -5, -2), 1, 6.160443806095121)
((3, 0, 5, 16, 31, 6, -1, 9), 1, 6.178865214339597)
((15, 2, 2, 9, -55, 7, 5, 27), 1, 6.198579793126924)
((2, 6, -2, -3, -98, -14, -11, -42), 1, 6.217551426051228)
((33, -1, -2, 7, 115, 7, 0, -3), 1, 6.236793894957832)
((4, -9, -8, -25, 18, -5, -6, 1), 1, 6.256373340844518)
((-1, 0, 3, -1, 10, 4, -9, -8), 1, 6.277154728311597)
((-7, 0, -4, -8, -4, 1, 1, -2), 1, 6.298745202639482)
((-3, 4, 11, 43, 43, 12, 2, 3), 1, 6.318434123281118)
((-7, -2, -5, -5, -9, -4, 13, 4), 1, 6.3410252652909715)
((-4, -5, -2, -3, 2, 4, -4, -6), 1, 6.360912608925956)
((-17, -2, 0, -15, -30, -3, 1, 5), 1, 6.381907244092782)
((-4, -8, -15, -10, 5, -3, -3, -5), 1, 6.401465593281899)
((6, 3, 1, -3, 56, 2, -2, -3), 1, 6.422819442488406)
((-3, -5, 1, 0, 23, 3, 0, -4), 2, 6.623654871712122)
((-1, -1, -2, -5, -32, -6, -2, -1), 2, 6.649037619973213)
((0, 1, -2, 13, 54, 7, 3, 0), 2, 6.6769964460617315)
((-2, -2, 0, 4, 7, 0, -2, 1), 2, 6.7058105436733)
((0, -2, 0, 1, 18, 1, 3, 0), 2, 6.732012642053473)
((1, -3, -2, -4, -24, -1, 1, 0), 2, 6.7556534873126175)
((-1, 3, 7, 3, -27, -12, 0, -2), 2, 6.776296890973978)
((0, -4, -5, 2, -32, 4, -1, 1), 2, 6.807081534174654)
((-3, -1, -5, -10, -40, -1, -2, -3), 2, 6.82880600104115)
((-2, -5, -8, 1, 3, 1, -1, -1), 2, 6.848715011554718)
((2, 6, 8, 3, 9, 5, 1, 1), 2, 6.873364507030047)
((-2, -1, 0, 16, 6, -1, 2, 1), 2, 6.895841612836827)
((0, 0, 1, 2, 21, -6, 1, -2), 2, 6.917777046679009)
((1, -1, -6, -3, 0, 3, -1, 0), 2, 6.939684541651438)
((-1, -1, -7, -38, -59, 0, 2, 0), 2, 6.964023858654407)
((0, 0, -1, 0, -30, 2, 1, 0), 2, 6.983361547790577)
((2, 1, 6, 0, 54, 9, 3, 2), 2, 7.006430501491309)
((-3, 0, -4, -10, -25, -9, -6, -4), 2, 7.028369356419582)
((-1, 0, 2, -5, -32, 7, -3, -2), 2, 7.047546254509419)
((7, -2, -4, -23, -64, -13, -12, -4), 2, 7.064639711169105)
((-4, -4, -1, 9, 32, -2, -5, -2), 2, 7.08355090490578)
((1, 1, 3, 15, 21, -1, -5, -1), 2, 7.104444047851872)
((-7, -3, 1, 0, 2, 2, 2, -1), 2, 7.123774324634842)
((-4, 0, -4, 10, 31, 6, 0, -2), 2, 7.143573290212443)
((2, 1, -2, -5, -22, -1, 15, 4), 2, 7.163790768655325)
((-6, -5, 1, 11, 2, -7, 5, -8), 1, 7.593192380785128)
((-3, 0, 3, 4, 0, -10, -19, -2), 1, 7.61972803505929)
((2, 5, 7, 11, -3, 5, 17, 3), 1, 7.6464512788875085)
((-5, -2, -1, 3, -7, 10, 8, 0), 1, 7.670408574610182)
((0, 1, 8, 9, -5, -18, -18, -3), 1, 7.692466027189652)
((-1, -2, -3, -5, -5, -1, 17, -3), 1, 7.723580235017211)
((-1, 3, 3, 6, 16, 14, 30, -2), 1, 7.749460181123701)
((-6, -2, -6, 2, -11, -17, 7, 6), 1, 7.782754761154024)
