((4, 4, 6, 31, 106, 21, 4, 4), 2, 0.69404029697308)
((-13, -14, -18, -43, -95, -40, -19, -18), 2, 0.7155076122016456)
((-13, -7, -2, -18, 5, -20, -57, -43), 2, 0.7397557002421559)
((-10, -1, 8, 16, 4, 49, 102, -10), 2, 0.7643196685651794)
((-7, 2, 3, 37, 32, 64, -72, -5), 1, 0.8222369455631079)
((-6, -12, -10, 13, -29, -86, -38, -3), 1, 0.8463715675815601)
((3, -2, -1, -10, 28, -38, -42, -4), 1, 0.8738514416171702)
((6, 8, 3, 21, 8, 19, 4, 23), 1, 0.9017526794231364)
((-15, -6, 2, 49, 7, 42, 22, 8), 1, 0.9264825704216317)
((6, 2, 7, 9, -8, -45, 2, 7), 1, 0.9527433974463873)
((8, 5, 15, 33, -1, -29, 13, 28), 1, 0.9794597991024211)
((1, -4, -4, 5, -4, 13, 21, 15), 1, 1.0035619208029973)
((-3, -2, -2, -14, 3, 5, -8, 7), 1, 1.023655669965544)
((4, 1, -2, 7, 7, -7, 2, 6), 1, 1.0496969772993832)
((-2, -4, -5, -34, 0, -13, 3, 3), 1, 1.0774704945579072)
((-5, -6, -7, -33, -19, 8, 16, -7), 1, 1.104362511966674)
((-6, -3, -2, 6, 1, -6, 16, -5), 1, 1.132511778514325)
((0, 0, 5, 15, 2, -12, -32, -6), 1, 1.1561281059898085)
((-10, 0, -5, -1, -9, -9, -13, -8), 1, 1.1849347912481776)
((15, -6, -6, -11, -9, -12, -39, 2), 1, 1.2062629823089936)
((-7, -2, -7, -5, -1, 1, -6, -1), 1, 1.2279042027472462)
((-1, -4, -8, 8, 0, -2, 6, 0), 1, 1.2510187709292069)
((0, 1, -7, -10, 1, -4, -7, -8), 1, 1.2725664816809392)
((-4, -3, 0, 14, 8, 0, 22, 2), 1, 1.2946712592846852)
((1, -2, 0, -4, -8, -16, -9, -4), 1, 1.3176427120317886)
((-3, 0, 2, -6, -8, -9, 10, 5), 1, 1.3380734381744173)
((2, 0, 0, -16, 3, 3, 5, 6), 1, 1.3611036195661037)
((-2, -2, -7, -34, 1, 12, 9, 6), 1, 1.3831456772581592)
((-2, -1, -4, -17, -2, 8, 9, 3), 1, 1.4051272957625858)
((-3, 0, 0, 2, 1, 7, 13, 10), 1, 1.425852805490159)
((-2, -2, -6, -3, 1, -9, 6, -6), 1, 1.4457697985379419)
((-1, -4, -7, -1, -2, 10, 28, -4), 1, 1.4670854456164197)
((3, 2, 4, -12, -6, 2, 3, 4), 1, 1.488991800226818)
((-4, 2, 1, 0, 3, 3, -19, -6), 1, 1.5072843475618205)
((-1, -3, -3, -5, -7, -5, -5, -7), 1, 1.5257011943581729)
((-1, -2, -2, -5, -7, -22, 21, 1), 1, 1.5466017496574638)
((0, -3, -1, 10, 0, -3, -33, -6), 1, 1.5644563979726644)
((-1, 1, 3, 12, 1, 4, -2, 6), 1, 1.5844948395767204)
((-2, -2, -2, -12, -6, 4, -21, 4), 1, 1.605474079856132)
