((-23, -9, -4, -6, 0, -6, 44, 3), 3, 80.29075475872261)
((11, -3, -4, -10, -8, 28, 14, -27), 3, 80.31083364883295)
((42, -2, -10, 21, -2, -5, -14, 6), 3, 80.33156482490911)
((8, 1, 5, 20, -46, 8, 10, 4), 3, 80.35329837749568)
((-9, -4, -5, -8, -128, -2, -38, -15), 3, 80.37373305995101)
((-5, 1, 6, 17, -45, -9, 11, 24), 3, 80.39443002522476)
((-2, -5, -3, -9, 52, 3, -20, 1), 3, 80.41397237591742)
((14, 19, 33, 49, 119, 14, 16, 9), 3, 80.43346398058651)
((3, -10, -7, 0, -27, -20, 6, -5), 3, 80.45756149961912)
((10, 10, 4, 4, -22, -16, -38, -22), 3, 80.47893697914053)
((-4, 1, 2, 23, 11, -9, -4, 31), 3, 80.49921714280501)
((4, -2, -4, -42, -10, -12, 24, 9), 3, 80.51896988993245)
((2, 1, 2, -12, 13, 5, -4, 3), 3, 80.53772026054948)
((2, -4, -8, 28, -42, -41, -7, -11), 3, 80.55981815818163)
((2, 1, 10, 51, 7, 8, -1, -3), 3, 80.58152947374663)
((2, -3, -2, -22, -16, 44, 4, -11), 3, 80.60193735774008)
((0, -4, -5, -54, -19, -12, -20, -5), 3, 80.6219660720069)
((-6, 1, -2, 32, 18, 5, 14, 7), 3, 80.641073375329)
((0, 1, -1, -27, -26, -6, -1, -2), 3, 80.66073147256978)
((4, 0, 2, 6, -17, -1, 10, -7), 3, 80.68069176523178)
((0, 0, 0, 26, 20, 11, 5, 33), 3, 80.7014719767914)
((-6, -3, -3, -9, -18, -13, -2, -18), 3, 80.72246657604605)
((-10, 2, 1, -12, -32, 0, 7, -2), 3, 80.7412386135046)
((3, -3, -5, -8, -7, -2, 13, 4), 3, 80.76092978118771)
((-1, 4, 3, 20, 17, 11, -10, -1), 3, 80.78078516072235)
((3, 2, 2, 11, -29, 28, 4, -12), 3, 80.8003714152781)
((-4, -5, -8, -25, 2, -16, -12, -7), 3, 80.81994683641307)
((2, 3, 2, 11, 6, -13, 3, 4), 3, 80.84159429181358)
((0, -1, 0, 2, 22, -2, -2, 6), 3, 80.86148673305082)
((3, -2, -2, -26, -16, -13, -8, -10), 3, 80.88121667297666)
((0, -2, -1, -5, 5, 0, -6, -2), 3, 80.90009476392265)
((3, 4, 8, 29, -25, -2, -34, -4), 3, 80.91952079788715)
((-9, -5, -4, 46, 31, -2, -10, -1), 3, 80.93860244310744)
((-12, -9, -9, -39, -23, -8, 14, -2), 3, 80.95904453790328)
((3, 0, 1, -11, 6, 3, 5, 0), 3, 80.98135910395067)
((-1, -1, -1, -38, -41, -12, -8, -3), 3, 81.03585406127839)
