((-69, 49, 15, 8, 3, 10, 17, 35), 3, 5.701810153669486e-07)
((3, -41, -11, 17, -14, -12, -13, -11), 1, 0.0764510109024312)
((103, 16, -12, -11, -4, -10, -10, -15), 1, 0.0970818705814535)
((9, 29, -47, -3, 7, 5, 1, -4), 1, 0.11911309483421702)
((16, 5, 70, -4, 0, 5, 2, 2), 1, 0.1405724275285675)
((-37, -23, 45, -1, 7, 2, -2, -8), 1, 0.15993634499144443)
((15, -25, -30, 4, 9, 6, -1, -11), 1, 0.181442432529055)
((-28, -12, -21, -20, -11, -4, -8, -13), 1, 0.20181842129420827)
((14, -7, 4, -8, 1, -2, -2, 0), 1, 0.22551001266372034)
((13, -3, -3, -11, 0, 0, 1, 6), 1, 0.24364747076254298)
((-16, -27, -2, -6, -11, -8, -5, -5), 1, 0.2631738898147995)
((2, 0, 0, 17, 8, 5, -1, 9), 1, 0.2852832288666683)
((26, 21, 1, 10, -3, 1, 4, 9), 1, 0.305575971203578)
((13, 13, 1, 17, 5, -2, -7, 2), 1, 0.3256845450725242)
((4, 5, -1, -2, -3, 1, 0, -4), 1, 0.34819814246428815)
((-19, -21, -6, 12, -1, -5, -3, -7), 1, 0.36719543353428413)
((20, -5, -1, 3, -5, -1, 1, 9), 1, 0.385319207288738)
((0, -4, 12, -2, 3, 4, -1, -1), 1, 0.40591471574480753)
((7, -7, 7, -1, 3, 2, 4, 5), 1, 0.4352111864953767)
((-1, 8, -2, 14, 8, 1, -2, -4), 1, 0.45964686408994265)
((-1, -1, 1, -3, 0, -3, 1, -4), 1, 0.47927306481988835)
((-5, 4, 2, -5, -3, -2, 2, 1), 1, 0.5001200231037347)
((44, -6, -7, 12, 3, 5, 3, 1), 1, 0.5203990810962756)
((8, 5, 4, -10, -1, -4, -5, 1), 1, 0.5410327916803748)
((-2, 21, 3, -10, -3, -1, -3, -24), 1, 0.5625297563217395)
((3, 17, 8, 11, 0, 4, 7, 6), 1, 0.5834816279124133)
((-11, -3, 0, -25, -14, -9, -4, 5), 1, 0.6022793556270309)
((-23, -15, -4, 0, -4, -1, -1, -7), 1, 0.6222100330191827)
((6, 8, -2, -2, -4, -3, -5, -3), 1, 0.6438033582521443)
((16, 17, -2, -8, -2, 1, -2, 4), 1, 0.6626660866025137)
((20, 1, -4, 3, 5, 0, -2, -1), 1, 0.6834811147494996)
((26, 4, 2, 31, 11, 2, -1, 1), 1, 0.7055881730773068)
((5, 2, 3, -6, 1, 1, -3, 2), 1, 0.7249515203591684)
((-6, 4, 11, -9, 4, 2, 4, 1), 1, 0.7454706245591788)
((25, 7, -2, -1, 6, 1, -3, -9), 1, 0.7663067494037332)
((-23, 2, -6, 16, -1, -5, -3, 0), 1, 0.786933617815648)
((4, 3, 0, -16, -14, -2, 4, 5), 1, 0.8069914455742264)
((12, 1, -2, -1, -1, 0, 5, 37), 1, 1.127936075866005)
((18, -4, 4, -14, -2, -3, 0, -9), 1, 1.147767541761483)
((-3, -5, -3, -19, -7, 1, 5, 7), 1, 1.1682695405310324)
((-7, -15, -1, -9, -4, 2, 2, 1), 1, 1.1970129356966956)
((17, 4, -1, -1, 3, 0, 3, 3), 1, 1.2164766348372618)
((-3, 6, 0, 15, -2, -3, -3, 1), 1, 1.2365179273463947)
((18, -10, -4, 5, -8, -1, -3, -2), 1, 1.2547397722354916)
((33, -15, -1, -4, 0, 1, -1, -2), 1, 1.2757657673581633)
((0, 5, 1, -1, 4, 3, 1, 2), 1, 1.2960077635847052)
((23, 14, 1, 2, -2, -1, 4, 3), 1, 1.3154019006413966)
((-1, -3, 2, -2, 1, -1, 2, -3), 1, 1.3364683786161593)
((-27, -5, 3, -9, -3, -2, -3, -5), 1, 1.355903568705957)
((0, 3, 3, -7, -3, -3, 0, 1), 1, 1.3757624032901725)
((18, 7, -2, -5, -8, -4, -1, 1), 1, 1.398284553397167)
((0, -10, -3, 8, -15, -4, -1, 0), 1, 1.4205546834953693)
((6, 12, 0, -1, 5, -1, -1, 3), 1, 1.4440296060790418)
((7, -1, -3, 2, 10, 3, 3, -2), 1, 1.4645105081510228)
((-12, 6, 3, 1, -2, -2, 3, 1), 1, 1.4844206590266211)
((0, -4, -1, -4, -3, -1, -3, -2), 1, 1.5056593316680247)
((-63, -10, -3, -9, -6, -1, 3, -9), 1, 1.5251572416695127)
((-9, -10, 0, 0, 1, 4, -1, -9), 1, 1.5445907212162646)
((6, 2, -1, -8, -5, -4, -2, -1), 1, 1.5645003019108477)
((27, -2, -2, 16, -4, -3, -5, 2), 1, 1.5840774670734719)
((-6, -2, -1, -11, 1, 0, -1, -2), 1, 1.6070164195026995)
((7, 11, 1, 1, -3, -1, 2, 1), 1, 1.6274465754643126)
((-27, 3, -4, -11, -10, -5, -6, -2), 1, 1.987511895401433)
((14, 11, 0, 4, 3, 2, 1, 1), 1, 2.007225904007745)
((24, 5, 2, 4, 8, 4, 2, 2), 1, 2.026749472154925)
((-2, 4, -1, -4, 0, -2, 0, -1), 1, 2.046908792134239)
((-8, -9, 1, -13, -2, 0, -3, -4), 1, 2.064827300723161)
((12, 2, -3, 2, -3, -1, -3, 0), 1, 2.0853885983183083)
((11, -4, -3, -4, -2, -3, -4, -1), 1, 2.1047701913926615)
((0, -7, 0, -3, 2, 0, -1, 6), 1, 2.1249506080695437)
((-3, 8, -1, -4, -2, -1, 0, -2), 1, 2.144184524260917)
((-8, -11, -2, -1, -3, -4, -1, -4), 1, 2.16268746839059)
((-18, -2, 3, -2, -2, -2, -4, -3), 1, 2.185499840634406)
((3, 4, 0, -4, 0, 0, 2, 0), 1, 2.205656309708643)
((1, 0, -1, -10, 4, 2, 4, -1), 1, 2.2254809334319368)
((36, -16, -3, -9, -2, -1, -5, -2), 1, 2.245226301994094)
((0, 3, -1, 2, -3, -1, -4, -6), 1, 2.2652795683045497)
((-17, 5, -4, -3, -1, -1, -1, -3), 1, 2.2879277284159403)
((3, -2, -1, 4, 3, 2, 0, 1), 1, 2.308676045384128)
((-42, 4, -3, 7, -7, 0, 0, 4), 1, 2.3272896046307823)
((19, -3, 3, 2, 4, 2, 3, 2), 1, 2.3468684803364526)
((-17, -3, 4, 3, 1, -1, 1, 3), 1, 2.366200467662469)
((-18, -13, -3, 4, 4, -1, -2, -3), 1, 2.386630623624082)
((9, 5, -1, 2, -2, -2, -2, -1), 1, 2.4067146797093675)
((15, -5, 2, 20, 9, 0, 0, 0), 1, 2.4337794619657904)
((-64, -8, 0, 7, 4, -3, 0, -8), 1, 2.4562497256003866)
((17, 16, 0, -2, 1, 2, 2, 0), 1, 2.4798078946123026)
((12, -3, -1, -10, -6, -2, -1, 1), 1, 2.502247368472069)
((0, -5, 2, -4, 1, 0, -2, -1), 1, 2.522058878032009)
((-2, -2, -2, 1, -4, -2, -2, -2), 1, 2.5421058723512955)
((1, -12, -1, -13, -3, -1, 1, 0), 1, 2.5630007258404324)
((-11, 0, -2, -8, -4, 1, 2, -3), 1, 2.5845706736517644)
((2, -18, -5, 3, -3, -1, 0, 1), 1, 2.605671362487449)
((1, 8, -2, -15, -6, 0, -1, -4), 1, 2.6268809558970685)
((6, 9, 1, 0, 3, -2, -1, 0), 1, 2.64620496068887)
((2, 0, 0, 13, -1, 0, -1, -3), 1, 2.666615160314945)
((-7, 1, 0, 10, -2, -2, 0, 2), 1, 2.6885682697686035)
((7, 15, 2, 1, 1, 2, 2, -1), 1, 2.7084231130857113)
((-7, 2, 0, -20, -5, 1, -1, -4), 1, 2.7287164256036363)
((4, -1, 1, 3, 6, 2, 3, 23), 1, 2.748125957547743)
((-35, -38, -6, -7, -2, -2, -7, -17), 1, 2.7684779987102504)
((-17, 0, -5, -5, -5, -2, -6, -7), 1, 2.7887085913164853)
((2, 4, 2, 3, 4, -1, 1, 0), 1, 2.808167158827913)
((17, 3, -2, 1, -5, -1, 0, -2), 1, 2.829973161579607)
((-50, -2, -2, 7, -4, -1, -2, -1), 1, 2.851761488719824)
((2, -1, 3, 3, 8, 7, 4, -1), 1, 2.8726130084517933)
((-5, -1, -3, -4, 4, 0, -2, -5), 1, 2.8929935586650695)
((-3, -3, -3, -1, 2, 0, 1, -3), 1, 2.914021264330787)
((-13, -1, -2, 7, -2, -2, -4, -2), 1, 2.9382818963536352)
((-16, -11, 2, 1, 2, -2, 3, 2), 1, 2.9578664738694593)
((51, 9, 0, -13, -5, -1, -4, -3), 1, 2.9771613994294768)
