((36, 11, -12, 9, -3, 1, 6, 41), 3, 5.701810153669486e-07)
((7, -15, 2, -9, 0, -3, 0, 13), 3, 0.019505322354687944)
((60, -10, 1, 2, 0, -4, -5, -18), 1, 0.10991037324619447)
((127, 16, 18, -18, -15, -10, -13, -10), 1, 0.13020482612615028)
((-6, -45, 74, -7, -15, -22, -14, -21), 1, 0.1509474412841845)
((-16, 41, -11, -29, -4, 6, -15, 45), 1, 0.1711540862877738)
((30, 78, -65, -3, -5, -2, 43, 37), 1, 0.194995065083312)
((6, 12, -10, 3, 6, 19, -9, 13), 1, 0.21451692268744557)
((10, -5, -44, 13, 10, 2, 11, 10), 1, 0.23416364993394453)
((7, -1, 28, 19, 8, 6, -2, 2), 1, 0.25592061711831654)
((13, -3, 17, -17, -12, -1, -2, -9), 1, 0.28068129789164165)
((17, -15, 32, 6, -1, 0, 0, 7), 1, 0.30124829729694286)
((10, -7, 6, 6, -3, -5, 2, 8), 1, 0.32572388756258447)
((-6, 8, -7, 1, 0, -1, 0, -1), 1, 0.34786629711334455)
((-8, -16, 0, 8, 2, -2, -3, -8), 1, 0.368985231741521)
((-19, -16, -4, 8, 16, 7, -10, -5), 1, 0.3883457281183057)
((-42, 18, -12, 2, 4, -2, -9, -7), 1, 0.40478233624828874)
((-8, 0, 11, 4, 0, 1, 1, 2), 1, 0.43156487890210504)
((-24, -34, 21, -20, -7, -2, 3, 6), 1, 0.45116599166737464)
((7, 3, 4, -4, -10, -2, 0, 2), 1, 0.47246738422046847)
((-10, 1, -5, -9, -4, -4, -1, -1), 1, 0.4968175346627294)
((-35, -6, -7, 8, 8, 2, 6, 0), 1, 0.5182637531937264)
((-24, 1, 8, -4, -6, -4, -3, -4), 1, 0.5372114385153854)
((15, 12, -8, 4, -1, 4, 7, 3), 1, 0.5578588334438535)
((3, -6, -1, -7, -2, 0, 3, 0), 1, 0.5791277256790713)
((-9, -1, -2, 9, 3, 0, 2, -1), 1, 0.6004810047045636)
((9, 1, 3, 2, 2, -3, -6, 0), 1, 0.6201425566574621)
((9, 0, 2, 9, 13, 1, 1, 5), 1, 0.6410453926808144)
((9, -14, -2, -5, -10, -7, -6, -1), 1, 0.6614641450221201)
((19, 5, 17, 3, 3, 0, -1, 5), 1, 0.6810070993238223)
((-11, -5, -6, 0, -1, 5, -1, -1), 1, 0.7007290904643497)
((-3, 4, -2, 4, 14, -7, -2, 1), 1, 0.7236452356529628)
((1, -9, -16, 8, 27, 36, 11, -5), 1, 0.7457049689564946)
((5, 5, -6, -15, -12, -10, -9, 0), 1, 0.7645004159470508)
((-11, -5, 3, -9, -11, -6, -3, -4), 1, 0.7854511471756939)
((5, -3, -2, 16, 14, -2, -5, 0), 1, 0.8068699970179533)
((-8, 14, -13, -1, 8, 34, -11, -3), 1, 0.8261215888208029)
((-5, -5, 12, -5, 0, -4, 12, -5), 1, 0.8515499515631227)
((4, -4, -6, 4, 6, -3, -1, 1), 1, 0.8726038855555474)
((-4, 1, 14, 0, 0, -2, 1, -2), 1, 0.8929519354509476)
((-2, -4, 17, 3, 2, -3, 3, -1), 1, 0.914765350555841)
((-2, -3, 2, 3, 0, 2, 0, 1), 1, 0.9347861165484206)
((-2, -4, -5, -1, -2, -1, -10, -4), 1, 0.9528312053227538)
((-1, 0, 0, 2, 1, -4, -1, 0), 1, 0.9745009348117747)
((-2, -4, 10, 0, -1, 1, 1, -3), 1, 0.9945142884511546)
((-1, 4, 10, 5, -4, -4, -1, 0), 1, 1.012571921207826)
((-1, 1, -3, -2, 1, 0, 0, -2), 1, 1.031407851050473)
((-6, -12, -28, -23, -8, -4, 9, -1), 1, 1.0509188752153147)
((-2, 0, -4, -3, 1, 0, -5, -1), 1, 1.0743196742669896)
((1, -1, 23, 18, -5, -3, 3, -1), 1, 1.0955081709790406)
((-2, 1, 2, -4, 0, 0, -4, 1), 1, 1.1179636099072372)
((6, 5, 4, 16, 2, 2, 8, 19), 1, 1.1414664713606628)
((-13, -15, -31, -71, -14, 1, 21, 3), 1, 1.1591084421571316)
((-57, -1, 48, -33, 5, 2, -1, -105), 1, 1.1795123697920378)
((-65, -24, 5, 10, 1, 5, 11, -18), 1, 1.1992206765881965)
((61, -12, 1, 0, -17, -50, -116, 48), 1, 1.2189067463247558)
((12, -12, 21, -16, -1, 0, 17, 24), 3, 1.2809053790306808)
((-5, 2, -12, -31, -15, -4, -5, 6), 3, 1.3003092091646336)
((-2, 8, -14, -23, -9, -10, 29, 1), 3, 1.319184481497341)
((11, -9, -21, 37, 9, 3, 5, 2), 3, 1.3393135818828403)
((1, 9, 13, 20, 5, 8, 0, -5), 3, 1.3602705851026526)
((19, 2, -17, 3, -3, -5, -5, 1), 3, 1.3827419890992794)
((-8, 5, 4, 34, -6, 0, 1, -13), 3, 1.4038563622793327)
((-5, -9, -34, 18, -6, -4, -12, 15), 3, 1.4241662100467036)
((6, 0, 17, 15, 5, 3, 2, 14), 3, 1.4443551794388165)
((5, 0, -39, -31, -2, 4, 17, 10), 3, 1.4643440152945355)
((5, -1, 4, -10, 1, -1, 6, 7), 3, 1.4839605229472201)
((-2, 1, -1, 4, 0, 1, 3, -4), 3, 1.503481240189323)
((2, 2, -8, -41, -2, -1, 1, -10), 3, 1.5232488458110796)
((2, 3, 18, 15, 3, 4, 3, -4), 3, 1.544179620704185)
((2, 0, -35, 14, -4, -7, -2, -2), 3, 1.5644033711382352)
((-2, 1, -2, -19, 0, 6, 20, -16), 3, 1.5805588800276424)
((5, -1, 9, 7, 0, -1, -7, 0), 3, 1.6001440277244816)
((-4, -1, -5, 9, -1, -2, -4, -10), 3, 1.6218473978934091)
((-2, 3, 18, -3, 2, 0, 2, 9), 3, 1.6407209596830705)
((4, 1, -2, 21, 3, -1, -2, 6), 3, 1.6604902758478735)
((-2, -2, 24, -1, -2, -3, 3, -9), 3, 1.681976407049946)
((3, -1, -16, 4, -5, -1, 0, 6), 3, 1.7012667711618408)
((0, -7, -7, 4, -4, -4, -1, 1), 3, 1.7238761589641864)
((-9, 1, 0, -30, -4, -2, -5, 0), 3, 1.7455322041088384)
((-20, -1, 4, 9, 1, -1, 1, -6), 3, 1.7664567070107746)
((4, 2, 12, 15, 6, 2, -1, -1), 3, 1.7853433829637895)
((-1, -2, -2, -32, -4, 0, -1, -3), 3, 1.8065598185455938)
((0, 3, 23, 21, 12, 5, 5, 3), 3, 1.8292159611911993)
((-3, -3, -14, 28, -3, -2, 4, -3), 3, 1.8509683669274484)
((5, -1, -2, -3, -8, -10, -2, 3), 3, 1.872909502579784)
((1, 0, -9, 4, -1, 2, -2, 1), 3, 1.8906803342857257)
((-2, 1, 1, -13, -2, -3, 3, -2), 3, 1.9070479505128493)
((1, 0, -3, 0, -1, -1, -3, -1), 3, 1.9289845247170618)
((-2, -1, 4, 4, 3, 0, 2, -1), 3, 1.950616052078053)
((-2, 1, 3, 2, 9, 9, 2, -2), 3, 1.9782202255750132)
((-2, 1, -1, -2, -9, 2, -2, 6), 3, 1.9988476641679433)
((3, 1, -1, -25, -31, -10, -5, 3), 3, 2.019126151979469)
((-2, -4, 0, 3, -2, 1, -5, 0), 3, 2.0408357941395656)
((11, -1, 11, -1, -8, -7, -1, -4), 3, 2.061903982657374)
((-25, 5, 4, -4, 6, 4, -1, 0), 3, 2.107614254297312)
((42, -12, -31, -19, 1, -3, -7, 47), 3, 2.342818484584301)
((-45, 67, -29, 17, -2, -3, -3, -68), 3, 2.361240463009792)
((-22, -25, 38, -115, -16, -4, -3, 13), 2, 2.381938033867612)
((24, 68, -45, -29, 3, -1, -13, -22), 2, 2.404962513449145)
((-28, -28, -22, -1, -4, -6, -5, -23), 2, 2.424520862638262)
((-6, 9, 1, -3, 1, -3, -9, -19), 2, 2.4457686581759113)
((15, -14, 37, 16, -1, -1, -2, 32), 2, 2.46640978111321)
