((-37, 63, -22, 10, 22, 18, 17, 26), 3, 5.701810153669486e-07)
((12, -17, -9, 10, 16, -2, -1, -1), 1, 0.08774629681685045)
((6, -27, -21, 8, 14, 3, 0, -11), 1, 0.11148692375368409)
((1, -2, -3, 5, 0, -3, -6, -8), 1, 0.13482956434179158)
((-7, 6, -1, -3, 0, -2, -2, -4), 1, 0.15724794150398927)
((7, 1, 2, 0, 2, -1, 6, 3), 1, 0.17965719576994107)
((26, 5, 0, 1, 3, 2, 1, 30), 1, 0.19804268261044833)
((-1, 13, 5, 9, 7, 5, 6, 6), 1, 0.2225159921520285)
((-15, -12, 2, -13, -3, 0, 0, -1), 1, 0.24989779505299548)
((23, 3, 6, 5, 3, 1, -2, 2), 1, 0.26927824776531806)
((-11, -22, 0, -1, 0, -3, -1, -1), 1, 0.29138758681718685)
((-3, 2, 6, 1, 6, 1, -1, 1), 1, 0.314532374592962)
((-12, -7, 0, 7, -1, 3, -1, -1), 1, 0.33236991747770167)
((-10, 3, -1, 2, 3, 1, -6, 1), 1, 0.35510189419835114)
((-41, -21, -3, -2, -2, 5, 8, -4), 1, 0.37578121926367963)
((24, 5, -1, -4, 2, -1, -5, 1), 1, 0.3977240654590613)
((-6, -10, -3, -5, -10, -8, -5, -6), 1, 0.4171643871779974)
((6, 2, 0, -4, -6, -2, -3, -1), 1, 0.4383631471483252)
((-12, -4, 2, -1, 1, 2, 5, 4), 1, 0.4583588251762287)
((12, -7, -6, -7, -4, 0, 2, 4), 1, 0.47742339760603797)
((-22, -10, -1, 16, 3, -1, 0, 1), 1, 0.4985748325520903)
((10, 14, 1, -7, 5, -3, -8, -7), 1, 0.5202702201868027)
((5, -8, -1, 7, 1, 0, 0, -4), 1, 0.5414096813315323)
((24, 5, -5, -1, 1, 1, -1, -2), 1, 0.5611373742822133)
((-2, 5, -1, -3, 1, 1, 5, 1), 1, 0.5847901933426805)
((11, -1, 5, 9, 21, 1, -2, 0), 1, 0.6076726978513869)
((12, 13, 16, 5, 5, 2, -1, 2), 1, 0.6284814540072037)
((9, 6, 14, -3, 0, -2, 11, -3), 1, 0.6535825328467029)
((3, 8, 27, 5, 1, 7, 12, 3), 1, 0.6750515586183146)
((46, 0, 18, 18, 7, 11, 5, 32), 1, 0.6960239567255416)
((29, 8, -22, 16, 10, -3, -19, 44), 1, 0.7375838807546232)
((21, -1, 4, 7, -6, 5, 41, 32), 1, 0.7639154102252842)
((48, 8, 28, 35, 8, -4, 17, -9), 1, 0.7834714786903398)
((-36, -16, -8, 4, -16, -13, -38, 7), 1, 0.8037260188992199)
((42, 29, 43, 7, 15, 9, 9, 31), 3, 0.8654144731327854)
((17, 5, -11, 12, -1, 1, 4, -17), 3, 0.886061297880238)
((-12, -12, 9, 14, -7, -3, 6, -19), 3, 0.9071129511486011)
((6, -3, -3, 5, -4, 1, -1, -7), 3, 0.925311418616068)
((-12, -2, -47, -3, 2, 5, 15, 7), 3, 0.953530817428609)
((-4, -6, -54, 0, -1, 0, -4, 7), 3, 0.9761094154561248)
((4, 3, -18, 4, -6, -2, 3, 4), 3, 0.9962316736694399)
((-33, -18, -37, 17, -11, -2, 8, -5), 3, 1.0187150514673893)
((-11, -13, -29, -22, -3, 3, -5, 10), 3, 1.0414538703602232)
((6, 1, 3, 30, 3, 2, -10, 2), 3, 1.0645906756017833)
((-3, -1, 5, 3, -7, 0, -1, 7), 3, 1.090483735871627)
((3, -9, -92, 19, -2, -5, 0, 1), 3, 1.1156851665698309)
((-23, 1, -72, -11, 2, 5, 3, 4), 3, 1.1371131393083362)
((2, 9, 35, 6, 9, 4, -18, 0), 3, 1.1588763784838774)
((5, -7, 16, 13, -14, -7, -11, -2), 3, 1.1807017673900932)
((5, 5, 28, -6, 8, 2, 0, -6), 3, 1.19887685743593)
((8, -2, 2, -23, -6, -2, 2, 1), 3, 1.2253098791273265)
((2, 2, 19, 19, 2, 1, 6, -3), 3, 1.2455427524576228)
((6, 4, 6, 1, 3, 7, -26, -1), 3, 1.2697982528513327)
((-4, -2, -4, -2, -4, 1, -3, 1), 3, 1.2934265541281391)
((-5, -7, -58, -47, -11, -5, 4, 1), 3, 1.3133788983988748)
((0, 0, -16, -8, 19, 8, 14, -2), 3, 1.3351050758084169)
((0, 2, -5, -3, -14, -5, -1, 1), 3, 1.3555033016331695)
((2, 3, -4, 9, 0, 1, 0, 2), 3, 1.3751876608266826)
((-3, -6, -21, -28, -27, -3, -2, -6), 3, 1.3961281287970493)
((-2, -5, -23, -21, -11, -6, -2, -2), 3, 1.4249986743291392)
((-2, 4, -14, 7, 4, 3, 0, 0), 3, 1.4466393245863765)
((4, 6, 13, 33, 17, 7, 5, 1), 3, 1.471292241147797)
((1, 3, 2, -12, -15, -7, -3, -1), 3, 1.4922589374448707)
((-6, -9, -8, -4, -9, -5, -2, -2), 3, 1.5111752628106845)
((-1, -2, -8, 42, 13, 6, 2, -1), 3, 1.535092645862282)
((2, -1, 9, -3, 3, -1, -1, 2), 3, 1.5572390466801496)
((61, 2, -21, 37, 9, 6, 0, -40), 3, 1.5814244148089693)
((-3, 13, 25, 43, 15, 8, 9, 26), 3, 1.6036152897460356)
((-25, 6, 28, 24, 13, 12, 13, 39), 3, 1.6283024171683784)
((2, -3, -2, 8, -6, -3, -1, -8), 3, 1.6482353752845915)
((53, -1, -52, -67, -14, -6, -5, 3), 3, 1.6667366088712183)
((-66, 1, 57, 24, 4, 2, 12, -18), 3, 1.6923405873662711)
((-24, 9, 22, -13, -9, 2, 0, 22), 3, 1.714205888943563)
((27, 27, -6, -5, 3, 4, 3, -8), 3, 1.7362547888078028)
((-15, -11, 17, 25, 5, 2, 0, -2), 2, 1.782673225268826)
((-17, 16, -26, 13, 11, 4, 2, -12), 2, 1.802806316921433)
((-3, 3, 54, 8, 4, 1, -2, -15), 2, 1.8265714616419275)
((3, 12, 1, 20, -1, 4, 2, -6), 2, 1.846924643166466)
((10, -9, -19, 34, -2, -1, -1, -4), 2, 1.8732322250344817)
((4, -22, -14, -12, -2, -1, -3, 0), 2, 1.8945626968193592)
((3, 11, -44, 4, 3, 4, 3, -3), 2, 1.9190052165861096)
((-10, -6, 17, 10, -4, -4, -4, -7), 2, 1.942568517227164)
((7, -5, 40, -27, -12, -3, -3, 3), 2, 1.9603838230523045)
((-1, -15, -9, -12, 11, -1, 0, -2), 2, 1.980844198607732)
((6, -2, -37, 3, 9, 7, 3, 3), 2, 2.0016124719114576)
((27, -8, -14, 22, 21, 2, -1, -1), 2, 2.0239686993429804)
((59, 2, -16, -38, -12, -3, -1, 9), 2, 2.0473027872158576)
((2, 12, 8, -13, 10, 3, 2, 0), 2, 2.0666570116014733)
((-54, -82, -25, -34, -28, -14, -14, -44), 2, 2.088146563889638)
((29, 1, -9, -34, -1, -3, -4, -46), 2, 2.1131096589234186)
((-25, 7, 1, 8, 0, -4, -25, -94), 2, 2.1370966040588906)
((-63, -2, 30, -21, -16, -4, 5, 61), 3, 2.15697710552169)
((-17, 7, -10, -3, -2, 3, -2, -21), 3, 2.179293420282137)
((10, -19, -7, 11, -17, -7, 4, 17), 3, 2.2024809716340648)
((20, -2, 0, 8, 5, 3, 10, 68), 3, 2.2229447682755845)
((5, -5, 12, -21, 3, 2, 10, 44), 3, 2.2442809418706156)
((20, 2, -4, -35, 3, 2, 6, 5), 3, 2.264585087827833)
((5, 6, -6, 33, -4, -2, 3, 1), 3, 2.2906554743934557)
((41, 8, -25, 35, 6, 3, -2, 14), 3, 2.3787592747069413)
((37, 3, 0, 27, -3, -5, 28, 11), 3, 2.399450003392577)
((-22, -18, 36, 94, -11, -6, 7, 16), 3, 2.4203482779678063)
((39, 10, -13, 16, 0, -4, -25, 8), 3, 2.443755919191666)
((-25, -7, 29, -30, -6, 0, 1, -4), 3, 2.4644631831267474)
((-44, -17, -65, 17, -7, -9, -27, -61), 3, 2.4914960352463096)
((-7, 10, -79, -85, 2, 1, 0, -22), 3, 2.5252296546584643)
((-2, 1, 6, -4, -3, 1, -10, -47), 3, 2.5512350405883355)
((18, -3, 7, -2, -5, -2, -6, 17), 3, 2.5703383853271897)
((12, 2, 5, -19, -9, -5, 1, 14), 3, 2.5902987121321406)
((5, 0, 21, 9, 4, 4, 4, 7), 3, 2.614241183148414)
((-33, -2, -3, 17, -2, -3, -1, -7), 3, 2.640539642120184)
((-28, -20, 14, 22, -8, -9, 0, -34), 3, 2.6602422471061886)
((-17, -8, 3, -47, 2, -1, 0, -11), 3, 2.6807334124364464)
((7, 13, 20, 31, 9, 4, 1, 16), 3, 2.7031403859783367)
((-1, 8, -20, -50, 3, 1, 0, -6), 3, 2.7245181827874894)
((11, 5, -20, 21, 3, 4, 1, 4), 3, 2.7461080869343593)
((-14, -2, -21, 8, 6, 1, -3, -5), 3, 2.768775633200272)
((-1, -1, 11, -18, -4, -1, 0, -6), 3, 2.7948311950594955)
((-2, -5, 14, 31, -15, -11, -5, -1), 3, 2.8238722247151804)
((4, 1, -3, 11, 11, 6, 2, -8), 3, 2.8453355486766383)
((1, -7, -11, -9, -12, -6, -1, -1), 3, 2.8650506976449814)
((-4, -4, -59, -13, -8, -3, -3, -1), 3, 2.8868760865511973)
((-2, -2, -34, -4, 2, -4, -4, -1), 3, 2.907630105329539)
((-3, 0, 19, 77, -4, -1, 1, -2), 3, 2.935243401722745)
((-2, -2, 38, -11, 1, 3, 0, -11), 3, 2.95744796100418)
((-2, -2, 10, -14, -3, 0, -1, 1), 3, 2.9814759591727586)
((0, 1, -7, 4, -2, 3, -2, 2), 3, 3.0025259018980757)
((-4, -10, -44, 7, -6, 0, -2, 1), 3, 3.025209983413434)
((2, 5, 24, 26, 10, 2, 0, 1), 3, 3.045086493609126)
((0, 3, 37, 16, 3, -4, -3, 3), 3, 3.070610076581012)
((-11, -5, -33, -24, 0, 1, 3, -5), 3, 3.091577343059101)
((-25, -8, -41, -11, 0, -2, -3, 10), 3, 3.1198685846795784)
((66, 2, 88, -32, -6, -4, -9, -10), 3, 3.1417527022303773)
((-17, 14, 33, 20, 8, 5, 2, -2), 3, 3.161610396452562)
((-10, -25, -118, -59, -11, -8, -3, 43), 3, 3.1853533041134567)
((39, -21, 106, 95, 13, 1, -2, 23), 2, 3.227387618747324)
((-9, 4, 3, -10, 3, 3, 6, 5), 2, 3.248865197234166)
((13, -14, -35, -46, -8, -4, -1, -5), 2, 3.2683670985027615)
((-55, -16, -12, -10, -5, -3, -4, -15), 2, 3.291224515046792)
((16, -12, 0, 25, -1, -4, -3, 6), 2, 3.317517842389423)
((1, 51, 100, 17, 3, 3, 1, 11), 2, 3.341164959639737)
((2, -14, 8, 16, 2, 2, 1, -13), 2, 3.36892992418303)
((-43, 1, -3, -1, -6, -4, -4, -49), 2, 3.389765478846569)
((-3, 5, -6, 56, 6, -1, 1, -2), 2, 3.411655298207522)
((-38, -7, -35, -58, -10, -4, -4, 0), 2, 3.431036891281875)
((10, 13, 9, 25, 1, 1, 1, 2), 2, 3.454962827048703)
((-12, 4, -11, -7, -2, -3, -2, -19), 2, 3.476700978259568)
((-21, 10, 5, 8, -1, -2, -1, -1), 2, 3.500065855907275)
((-4, 2, 12, -8, -9, 0, 1, -7), 2, 3.5216181281071304)
((2, 0, 0, 16, 4, 1, -2, 5), 2, 3.543306673569658)
((1, -12, 19, 22, 14, -2, -4, -6), 2, 3.5686038946784437)
((2, 3, 0, 8, -9, -3, 0, 1), 2, 3.5908249892093242)
((3, -4, -10, 6, -14, 3, 3, 2), 2, 3.6113543566676114)
((-9, 2, 1, 20, 41, 18, 4, 4), 2, 3.632674565194212)
((-2, 0, -25, -11, 28, 8, 2, 4), 2, 3.653805473623711)
((0, 3, 19, -18, -9, -1, 0, 0), 2, 3.678071237275698)
((-6, -33, 17, 11, -7, -7, -9, -21), 2, 3.69825906630578)
((-40, -26, 33, -77, -5, -12, -12, -17), 2, 3.720892401710771)
((-2, 12, -6, 20, 4, 4, 4, 7), 2, 3.7427326153233866)
((6, 12, 3, 4, 4, 4, 5, 4), 2, 3.7610148994001125)
((13, 2, 12, -1, -6, -2, -1, 2), 3, 3.807387151198891)
((48, 16, 3, -12, -2, -7, -4, 1), 3, 3.8343202216407644)
((36, -29, 2, -15, 2, -1, -1, -9), 3, 3.8551187145383046)
((28, 45, 21, 20, 3, -5, -1, 10), 3, 3.873207707250821)
((25, 28, -40, 32, -28, -8, -4, -3), 3, 3.8991851543109393)
((-31, 45, -11, 9, 11, 1, 0, -1), 3, 3.9215590573539383)
((11, -13, -12, 1, 15, 7, -6, -16), 1, 3.9667396308305998)
((5, 1, 9, 3, -2, 3, 6, -7), 1, 3.9890804633747075)
((20, 21, 19, 6, 23, 11, 6, 18), 1, 4.010517559009458)
((28, -1, 28, -15, 4, -1, -1, -8), 1, 4.031052058096884)
((31, 2, 18, 9, 30, 2, 2, 4), 1, 4.051989675162174)
((-20, -21, -17, -9, -15, -8, -7, -7), 1, 4.072865142496789)
((-45, -11, -6, -18, -5, 6, 2, 0), 1, 4.098733684982972)
((28, -11, -3, -14, -27, -6, -3, -1), 1, 4.123269144255227)
((17, -6, -48, -16, -11, -5, -5, -4), 1, 4.143929653347048)
((-31, -11, -2, 3, 5, 5, 4, 0), 1, 4.164204720072481)
((-13, 2, 3, -1, -5, -2, 1, -1), 1, 4.184910273464517)
((-32, -28, -12, 5, 2, -3, -5, -10), 1, 4.205038233487985)
((-2, 8, -5, 3, 2, -4, -2, -1), 1, 4.226925201943861)
((22, 11, -15, 4, 2, 3, 1, -1), 1, 4.247180312333756)
((-16, 10, 9, 2, -2, 1, 0, 0), 1, 4.2702008006481815)
((-11, 24, 4, 46, 17, 1, 2, 3), 1, 4.291935530772954)
((7, -4, 2, -13, 0, -3, -2, 3), 1, 4.322377495183396)
((1, 9, -5, -29, -2, -1, 1, -1), 1, 4.348999816971894)
((17, 5, 0, 9, 15, 4, 2, -4), 1, 4.369514359723781)
((-8, 6, -1, 3, -6, -1, 2, 9), 1, 4.393253846298585)
