((-8, -1, 7, 1, -3, -15, -31, 0), 2, 5.701806902607436e-07)
((21, -9, -28, -6, 1, 5, 5, 3), 2, 0.019725400979570425)
((-3, 5, 12, 5, 1, 0, 0, -3), 2, 0.04019602812131164)
((-1, 17, 4, 1, 1, -13, -8, 1), 2, 0.05887628789563413)
((-4, 5, 11, 4, 1, -6, -6, -1), 2, 0.07947577587337427)
((-7, -37, -9, 0, -3, -9, 4, -4), 2, 0.09871367236277176)
((5, 18, 19, -2, -4, 1, -3, -3), 2, 0.12008005336891261)
((3, -13, 14, -2, -1, 3, -1, -1), 2, 0.13979177001191678)
((12, -7, 1, 1, 3, 9, 5, -4), 2, 0.16082516549494535)
((2, -11, -27, -2, -1, -2, -7, 1), 2, 0.18042569690334867)
((-1, -18, 39, -4, -6, -12, -19, -8), 2, 0.2035584976879173)
((-11, 17, 29, 12, 0, -2, -2, 0), 2, 0.22484676393949243)
((9, -3, -6, -1, 2, 2, -5, -10), 2, 0.24469019232194683)
((-3, 2, 4, 3, 1, 4, 4, 5), 2, 0.2637667276760005)
((1, -39, 4, -16, -7, -9, -6, -9), 2, 0.28632877758961817)
((-7, -1, -55, -13, -5, -6, -3, 5), 2, 0.3073045848229304)
((-6, 0, -12, 8, 3, 0, 6, 5), 2, 0.3275226219188861)
((8, 25, 37, 10, 5, 4, -10, -3), 2, 0.3464668753527993)
((-14, 36, 1, -1, 1, -4, -4, -5), 2, 0.36418124903782007)
((-9, -24, -14, -1, -2, -4, 4, -1), 2, 0.38288773712389457)
((9, -7, 10, 5, 8, 6, 5, 5), 2, 0.4047507455112525)
((23, 21, 24, 1, 1, 4, -1, 1), 2, 0.4238871498377836)
((-2, -43, -6, -3, 2, 17, 27, 7), 2, 0.44321456469555204)
((13, 52, 10, 15, 9, 13, 12, 2), 2, 0.463236459634058)
((-4, 4, 15, -2, -2, 0, -2, 0), 2, 0.48199597452432674)
((-14, -32, -4, 0, -3, -10, -12, -6), 2, 0.5018029113426045)
((-3, 5, 23, -8, -5, 2, -4, -1), 2, 0.5214547590131312)
((3, 20, -7, -11, -3, -25, -20, -8), 2, 0.5414515660012658)
((-29, 49, 21, 9, 8, 13, 25, 1), 2, 0.5612368359533136)
((21, 22, -16, -9, -7, -10, 1, -4), 2, 0.5817234281543822)
((8, -6, 9, 3, -1, 3, -5, 3), 2, 0.603319591978698)
((0, -12, 25, 4, 1, -10, -20, 1), 2, 0.6241363187994275)
((-11, -53, -46, -5, -3, -5, -19, -7), 2, 0.644716990814389)
((11, -5, -27, -4, 0, 7, 3, 0), 2, 0.6657692022601962)
((3, -23, 5, 8, 4, 11, 9, 6), 2, 0.6949772782994931)
((-23, 45, 18, 1, 1, 4, -8, -4), 2, 0.71939640672129)
((-12, 9, -21, -2, -2, -4, -25, -5), 2, 0.7403380031131865)
((7, -5, 12, 3, 3, 10, 14, 4), 2, 0.7611621422828895)
((-5, -54, -50, -11, -3, 6, 11, -4), 2, 0.780242668901775)
((1, 9, 36, 2, -2, -9, 2, -1), 2, 0.8007680333897812)
((-37, -45, -36, -14, -4, -1, 1, -6), 2, 0.8219633601888439)
((-11, -2, -20, 2, 2, 1, -13, -2), 2, 0.8419014385658815)
((28, 7, 6, 5, 0, -8, -27, 1), 2, 0.861511092865329)
((5, -7, 22, 3, 0, 6, 14, 4), 2, 0.8813898724505795)
((13, 7, 10, 2, -1, -7, -2, 3), 2, 0.9025390146137311)
((23, 24, 4, 7, 6, 4, 14, 5), 2, 0.9216258132202095)
((-27, -10, 33, -2, -5, -11, -29, -4), 2, 0.9422235906558788)
((0, 10, 6, 5, 7, 19, 27, 0), 2, 0.9616507871344429)
((-4, -5, 32, 0, -2, -12, -24, -6), 2, 0.9822422925825194)
((21, 1, -25, -1, -1, 5, 13, 3), 2, 1.0035254272078822)
((-4, -1, 15, 1, -2, -5, 7, 1), 2, 1.02339793480554)
((4, -31, 3, 2, 2, -2, -3, 2), 2, 1.0441468101241282)
((3, 22, 0, 0, -2, 2, 16, 9), 2, 1.0640010719396977)
((1, 7, 15, 11, 5, 8, 5, 3), 2, 1.086722202265898)
((2, 4, -30, -5, -1, -3, -5, -4), 2, 1.1077806856992982)
((-20, -15, -73, -5, -8, -4, -4, -4), 2, 1.1260173448965978)
((10, 46, 69, 2, -3, -2, -10, -19), 2, 1.1466732807626736)
((-10, 13, 17, -2, 3, 4, 10, 6), 2, 1.1642565128889346)
((-6, 20, 7, 0, 1, 5, 18, 40), 2, 1.1848286321935422)
((-23, -11, -88, -6, -4, -6, -5, -25), 2, 1.2055113665520603)
((-2, -18, -12, 15, -1, -1, -6, -21), 2, 1.224379785954169)
((15, 28, 14, -9, 9, 3, -1, 33), 3, 1.2435435589538324)
((-20, -48, -43, -3, -1, -3, 0, 21), 3, 1.32420759138571)
